Notice,Created,MinTradeSize,IsSponsored,BaseCurrencyLong,MarketName,IsActive,LogoUrl,MarketCurrencyLong,BaseCurrency,MarketCurrency
None,2015-11-03T19:13:33.197,0.1073535,None,Bitcoin,BTC-OMNI,True,https://bittrex.com/Content/img/symbols/BTC.png,OMNI,BTC,OMNI
None,2015-11-03T19:13:55.18,15.40357363,None,Bitcoin,BTC-AMP,True,https://bittrex.com/Content/img/symbols/BTC.png,AMP,BTC,AMP
None,2015-11-10T00:53:59.643,2.3092555,None,Bitcoin,BTC-AGRS,True,https://bittrexblobstorage.blob.core.windows.net/public/7a06fac6-2ff6-4327-9e0f-1c0baf4d0c74.png,IDNI Agoras,BTC,AGRS
None,2015-11-17T20:06:44.92,31.70577045,None,Bitcoin,BTC-XLM,True,https://bittrexblobstorage.blob.core.windows.net/public/c41db2ef-2635-4438-a1c1-0a680c8857e1.png,Lumen,BTC,XLM
None,2015-12-11T06:31:40.633,0.00074074,None,Tether,USDT-BTC,True,https://bittrex.com/Content/img/symbols/BTC.png,Bitcoin,USDT,BTC
None,2015-12-18T00:30:10.31,2.7700831,None,Bitcoin,BTC-CLUB,True,https://bittrexblobstorage.blob.core.windows.net/public/43aac470-0ab8-41db-a346-f23e00c1fd01.png,ClubCoin,BTC,CLUB
None,2015-12-30T04:21:47.31,24.43792766,None,Bitcoin,BTC-VOX,True,https://bittrexblobstorage.blob.core.windows.net/public/a04e7755-66e9-4d20-a3c8-6332022201fc.png,Voxels,BTC,VOX
None,2016-01-06T05:28:04.553,3.87506781,None,Bitcoin,BTC-EMC,True,https://bittrexblobstorage.blob.core.windows.net/public/449483b1-9832-4273-9d4d-dd8beb5e3f36.png,EmerCoin,BTC,EMC
None,2016-01-09T03:47:07.803,0.21093308,None,Bitcoin,BTC-FCT,True,https://bittrexblobstorage.blob.core.windows.net/public/2478893a-5e5d-469e-81bd-e351195858d9.png,Factom,BTC,FCT
None,2016-01-18T20:38:22.707,10.20408163,None,Bitcoin,BTC-MAID,True,https://bittrexblobstorage.blob.core.windows.net/public/1b118fed-9190-497a-a8a5-7f6eb66fe236.png,MaidSafe,BTC,MAID
None,2016-01-18T21:01:43.837,15.97444089,None,Bitcoin,BTC-EGC,True,https://bittrexblobstorage.blob.core.windows.net/public/beaf8ee0-4841-4f3b-a834-9cbb6543d567.png,EverGreenCoin,BTC,EGC
None,2016-01-20T22:24:04.65,0.24235609,None,Bitcoin,BTC-SLS,True,https://bittrexblobstorage.blob.core.windows.net/public/266cb245-641c-415b-a4c3-3a33cdfc34d1.png,SaluS,BTC,SLS
None,2016-01-26T23:22:16.193,0.86025945,None,Bitcoin,BTC-RADS,True,https://bittrexblobstorage.blob.core.windows.net/public/259f6efd-9b21-43cf-9c6b-8f67b94ca092.png,Radium,BTC,RADS
None,2016-02-09T21:06:51.577,0.0891094,None,Bitcoin,BTC-DCR,True,https://bittrexblobstorage.blob.core.windows.net/public/5b187f7e-4da7-49bf-bc5b-9f5b616a326e.png,Decred,BTC,DCR
None,2016-02-17T00:54:23.677,6.07828835,False,Bitcoin,BTC-BSD,True,https://bittrexblobstorage.blob.core.windows.net/public/a7c8bcd5-9d9f-4f53-80bf-6ad2df6e8f8a.png,BitSend,BTC,BSD
None,2016-02-17T22:42:03.61,54.64480874,False,Bitcoin,BTC-XVG,True,https://bittrexblobstorage.blob.core.windows.net/public/edcdc903-45b4-4089-8549-e303c564cd1b.png,Verge,BTC,XVG
None,2016-03-02T20:45:37.987,0.83333333,None,Bitcoin,BTC-PIVX,True,https://bittrexblobstorage.blob.core.windows.net/public/abd1b000-2421-4915-9eca-6ffccf3a426d.png,Pivx,BTC,PIVX
None,2016-03-12T19:37:38.863,6.22665006,None,Bitcoin,BTC-XVC,True,https://bittrexblobstorage.blob.core.windows.net/public/8372a426-2d7d-4a49-a0b5-355c090c6694.png,Vcash,BTC,XVC
None,2016-04-01T18:24:07.207,11.40510949,None,Bitcoin,BTC-MEME,True,https://bittrexblobstorage.blob.core.windows.net/public/56e0e7cf-5ecd-4e2c-9463-cc606b9168b3.png,Memetic,BTC,MEME
None,2016-04-17T01:22:13.35,2.18684395,False,Bitcoin,BTC-STEEM,True,https://bittrexblobstorage.blob.core.windows.net/public/5715c9e7-5eca-44dc-a3ed-ed843b8d6e95.png,STEEM,BTC,STEEM
None,2016-05-16T06:44:15.287,476.19047619,False,Bitcoin,BTC-2GIVE,True,https://bittrexblobstorage.blob.core.windows.net/public/a6a2227e-55fd-412d-844b-6a7866411e34.png,2GIVE,BTC,2GIVE
